,City,Country,Lat,Lng,Temperature (F),Humidity,Cloudiness,Wind Speed (mph)
428,alofi,nu,-19.0595,-169.9187,80.6,94,40,3.44
429,ghogha,in,21.6833,72.2833,72.68,42,0,10.09
430,linjiang,cn,41.8069,126.9078,-10.34,84,26,1.99
431,wasilla,us,61.5814,-149.4394,35.67,93,90,18.41
432,tucumcari,us,35.1717,-103.725,48.2,40,1,18.41
433,kamsack,ca,51.5667,-101.9009,8.6,78,90,4.61
434,bulgan,mn,48.8125,103.5347,9.32,81,12,3.4
435,bembereke,bj,10.2283,2.6634,78.33,16,0,4.59
436,bayshore gardens,us,27.4253,-82.5904,67.39,43,1,6.91
437,tingo maria,pe,-9.2895,-76.0088,77.0,78,90,2.3
438,sayat,tm,38.7839,63.8803,46.4,66,0,6.91
439,zottegem,be,50.8662,3.809,40.73,96,100,1.01
440,college,us,64.8569,-147.8028,30.96,64,90,8.05
441,kitimat,ca,54.0524,-128.6534,37.0,96,100,1.52
442,hovd,mn,48.0056,91.6419,2.17,78,9,1.21
443,sitka,us,57.0531,-135.33,44.6,76,90,21.85
444,wajima,jp,37.4,136.9,32.94,91,97,27.63
445,miandrivazo,mg,-19.5167,45.4667,79.68,84,100,1.34
446,roma,au,-26.5833,148.7833,71.46,84,100,3.78
447,brae,gb,60.3964,-1.353,42.8,75,40,21.85
448,tobol,kz,52.6844,62.5794,-6.72,88,100,4.25
449,tournon-sur-rhone,fr,45.0667,4.8333,37.4,75,0,6.91
450,san policarpo,ph,12.1791,125.5072,77.85,90,100,25.86
451,hashtrud,ir,37.4779,47.0508,32.76,90,3,26.55
452,chernenko,ru,44.365,39.3103,25.72,97,100,1.52
453,kasongo-lunda,cd,-6.4667,16.8167,72.39,88,100,3.13
454,vila velha,br,-20.3297,-40.2925,84.45,62,0,16.11
455,luancheng,cn,37.8792,114.6517,24.8,68,0,11.18
456,palafrugell,es,41.9174,3.1631,43.07,83,0,2.35
457,kenai,us,60.5544,-151.2583,33.87,100,90,25.32
458,moron,mn,47.3825,110.3165,-1.21,89,12,3.31
459,salvador,br,-12.9711,-38.5108,86.0,54,40,12.66
460,vysokogornyy,ru,50.1167,139.15,-18.58,86,99,3.53
461,burbank,us,34.1808,-118.309,72.72,16,1,4.61
462,san francisco,ar,-31.428,-62.0827,89.91,12,0,1.99
463,hofn,is,64.2539,-15.2082,37.4,65,75,24.16
464,sao felix do xingu,br,-6.6447,-51.995,84.7,67,19,2.66
465,kailua,us,21.4022,-157.7394,69.01,88,90,26.46
466,apple valley,us,34.5008,-117.1859,64.69,26,0,11.99
467,minot,us,48.2325,-101.2963,16.07,79,90,4.61
468,chumikan,ru,54.7183,135.315,-24.52,75,0,22.08
469,shilka,ru,51.85,116.0333,-17.72,85,100,4.25
470,vieux-habitants,gp,16.0589,-61.7659,84.2,61,40,12.66
471,howard springs,au,-12.497,131.047,77.94,94,90,6.91
472,mudgee,au,-32.5943,149.5871,48.2,76,0,3.44
473,shimoda,jp,34.6667,138.95,35.01,68,0,1.01
474,promyshlennyy,ru,67.5833,63.9167,-16.53,89,100,5.82
475,rio grande,br,-32.035,-52.0986,79.3,47,40,9.22
476,humberto de campos,br,-2.5983,-43.4611,82.0,77,100,7.56
477,jimo,cn,36.3897,120.4622,28.74,74,0,2.24
478,dubrovnik,hr,42.6481,18.0922,35.6,32,0,13.8
479,manacapuru,br,-3.2997,-60.6206,75.2,94,75,5.75
480,jilib,so,0.4883,42.7854,74.91,78,100,7.78
481,vysha,ru,53.8477,42.3777,-0.99,93,100,2.53
482,otavi,na,-19.65,17.3333,71.49,75,95,5.91
483,muzhi,ru,65.3667,64.6667,-16.8,84,100,7.74
484,hue,vn,16.4667,107.6,59.0,88,75,8.05
485,anderson,us,34.5334,-82.6499,51.93,30,1,19.57
486,gidole,et,5.65,37.3667,64.69,40,65,5.48
487,lancut,pl,50.0687,22.2291,6.17,85,22,1.14
488,borovoy,ru,55.4333,86.0833,10.4,72,40,17.9
489,bethel,us,41.3712,-73.414,40.71,49,90,6.91
490,trincomalee,lk,8.5711,81.2335,76.87,78,100,11.3
491,pimentel,pe,-6.8367,-79.9342,80.6,54,0,13.8
492,mildura,au,-34.2,142.15,58.1,63,0,10.36
493,maragogi,br,-9.0122,-35.2225,81.23,71,7,11.12
494,fare,pf,-16.7,-151.0167,80.56,77,0,16.4
495,carmen,mx,18.6333,-91.8333,71.6,64,90,9.22
496,san juan bautista,pe,-14.0108,-75.7358,72.32,78,0,9.22
497,maniitsoq,gl,65.4167,-52.9,26.04,84,100,6.38
498,torrington,us,41.8007,-73.1212,40.05,65,87,7.0
499,erzincan,tr,39.75,39.5,24.8,74,75,10.36
500,popondetta,pg,-8.7537,148.2534,77.13,87,76,2.08
501,dakar,sn,14.6937,-17.4441,68.0,83,100,11.5
502,vechta,de,52.7167,8.2833,40.39,90,100,7.0
503,portland,au,-38.3333,141.6,54.59,74,68,9.75
504,ust-kishert,ru,57.3654,57.2495,-13.29,89,16,1.21
505,valley,us,45.1277,-116.1262,24.8,93,90,3.44
506,lubango,ao,-14.9172,13.4925,62.89,56,93,3.18
507,mabai,cn,23.0128,104.4508,38.77,97,0,2.82
508,fethiye,tr,36.6217,29.1164,42.8,61,75,13.8
509,mahon,es,39.8885,4.2658,42.8,81,0,4.61
510,ugoofaaru,mv,5.6667,73.0,82.09,73,18,15.1
511,ambilobe,mg,-13.2,49.05,77.4,91,100,6.73
512,gobabis,na,-22.45,18.9667,77.86,30,15,7.56
513,coruripe,br,-10.1256,-36.1756,81.75,67,0,13.4
514,majene,id,-3.5403,118.9707,75.47,90,100,3.29
515,kyzyl,ru,51.7,94.45,-5.3,85,100,1.99
516,zaysan,kz,47.4667,84.8667,6.62,81,57,1.77
517,wanaka,nz,-44.7,169.15,50.0,74,98,12.5
518,taoudenni,ml,22.6783,-3.9836,63.41,26,100,12.95
519,honghu,cn,29.8206,113.4621,44.33,57,0,3.96
520,sukhobezvodnoye,ru,57.0491,44.8891,-9.38,91,100,1.74
521,gamba,ga,-2.65,10.0,78.51,83,100,6.35
522,batagay-alyta,ru,67.8006,130.4114,-33.66,78,100,0.27
523,esso,ru,55.9333,158.7,15.76,91,100,2.35
524,salingogon,ph,13.4346,123.1905,74.39,93,100,5.86
525,amga,ru,60.8953,131.9608,-54.76,62,52,0.85
526,fort nelson,ca,58.8053,-122.7002,30.2,64,1,9.22
527,shelburne,ca,44.0787,-80.2041,28.4,74,75,3.44
528,nizamabad,in,18.6667,78.1167,69.93,56,0,6.35
529,mbanza-ngungu,cd,-5.25,14.8667,70.52,94,100,2.62
530,machala,ec,-3.2667,-79.9667,84.2,65,75,5.75
531,bundaberg,au,-24.85,152.35,71.47,94,100,6.91
532,morro bay,us,35.3658,-120.8499,71.37,28,1,5.75
533,bukama,cd,-9.2,25.85,70.34,94,71,2.39
534,central point,us,42.376,-122.9164,41.07,87,90,4.61
535,askiz,ru,53.1319,90.5264,21.2,92,58,10.65
536,motygino,ru,58.1831,94.7592,12.99,95,99,10.42
537,kieta,pg,-6.2167,155.6333,78.94,79,100,1.12
538,belyy yar,ru,53.6039,91.3903,30.2,51,0,15.66
539,byron bay,au,-28.65,153.6167,65.97,88,95,3.44
540,young,au,-34.3167,148.3,53.01,70,0,3.74
541,ogre,lv,56.8162,24.614,13.6,85,0,10.36
542,mushie,cd,-3.0167,16.9,76.71,82,97,4.9
543,sorland,no,67.667,12.6934,33.8,80,40,8.05
544,mohgaon,in,21.65,78.7167,66.7,42,0,2.89
545,port-de-bouc,fr,43.4,4.9833,41.65,56,0,12.66
546,ransang,ph,8.9603,117.5828,78.37,80,100,9.62
547,pak phanang,th,8.3511,100.202,75.58,77,100,8.37
548,inhambane,mz,-23.865,35.3833,75.2,94,75,17.27
549,gamboula,cf,4.1178,15.1393,77.18,23,0,2.48
